^,a9,Main language spoken at home
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1k,Sometimes I end up on websites without knowing how I got there
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1k1,I know how to use incognito in browsing
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1l,I know which information I should and shouldn't share online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1m,I know how to remove people from my contact lists
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1m1,I know how to block
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1n,I know when I should and shouldn't share information online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1o,I know how to behave according to the situation online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1p,I know how to change who I share content with (e.g. friends; friends of friends or everyone)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1p1,I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1t,I know how to create something new from video or music that I found online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1q,I know how to post online video or music that I have created myself
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1s,I know which different types of licences apply to online content
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1r,I know how to edit or make basic changes to online content that others have created
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1u,I know how to design a website
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1v,I know how to install apps on a mobile device (e.g. phone or tablet)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1w,I know how to safeguard my online expenses while using mobile apps
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1x,I know how to make an in-app purchase
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1x1,I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e3a,Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3b,Connect to a Wi-Fi network
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3c,Block push notifications from different apps
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3d,Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3e,Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3f,Protect a smartphone with a PIN/with a screen pattern
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3g,Update my status on the social networking site I use the most
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3h,Find information on how to use smartphones safely
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3i,Compare similar apps to choose the one that is most reliable
a,1, No
b,2, Yes
x,3, Prefer not to say
^,e3j,Take a picture or a video with my smartphone and post it onto social media
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d1d,Twitter
a,0, No
b,1, Yes
^,d1e,Viber
a,0, No
b,1, Yes
^,d1f,Skype
a,0, No
b,1, Yes
^,d1a,Facebook
a,0, No
b,1, Yes
^,d1c,Instagram
a,0, No
b,1, Yes
^,d1b,WhatsApp
a,0, No
b,1, Yes
^,d1g,YouTube
a,0, No
b,1, Yes
^,d1h,Spotify
a,0, No
b,1, Yes
^,d1i,Wikipedia
a,0, No
b,1, Yes
^,d1j,Tumblr
a,0, No
b,1, Yes
^,d2d,I find it easier to be myself online than when I am with people face-to-face
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d2e,I talk about different things online than I do when speaking to people face-to-face
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d2f,I talk about private things online which I do not talk about with people face-to-face
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d2a,I feel safe on the internet
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d2b,I find other people are kind and helpful on the internet
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d2c,I know what to do if someone acts online in a way I don't like
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,d14a,Facebook/Messenger
a,0, No
b,1, Yes
^,d14b,Skype
a,0, No
b,1, Yes
^,d14c,Viber
a,0, No
b,1, Yes
^,d14d,WeChat
a,0, No
b,1, Yes
^,d14e,Instagram
a,0, No
b,1, Yes
^,d14f,Twitter
a,0, No
b,1, Yes
^,d14g,YouTube/Hangout (Google)
a,0, No
b,1, Yes
^,d15a,Minecraft
a,0, No
b,1, Yes
^,d15b,Warcraft DOTA
a,0, No
b,1, Yes
^,d15c,DOTA 2
a,0, No
b,1, Yes
^,d15d,League of Legends
a,0, No
b,1, Yes
^,d15e,Counterstrike
a,0, No
b,1, Yes
^,d15f,Others
a,0, No
b,1, Yes
^,d9a,A photo that clearly shows your face
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9b,Your last name
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9c,Your address
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9d,Your phone number
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9e,Your school
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9f,Your correct age
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9g,An age that is not your real age
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9j,Places you've dined and visited
a,1, No
b,2, Yes
x,3, Prefer not to say
^,d9k,Pictures showing whole body
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f1a,Looked for new friends or contacts on the internet
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1b,Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1c,Added people to my friends or contacts I have never met face-to-face
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1d,Pretended to be a different kind of person online from who I really am
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1e,Sent a photo or video of myself to someone I have never met face-to-face
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1f,Post my current location and those I had been to
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1g,Post my new stuff and clothes
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1h,Post messages or love quotes that pertain to the boy/girl whom I have a crush on
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1i,Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners)
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1j,Engage in chat activities with a person whom I only met on internet
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1k,Do video calls with a person whom I only met on internet
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f1l,Receive offers or gifts online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,f2,Have you EVER had contact on the internet with someone you have not met face-to-face before?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f3,In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f4,If you met anyone face-to-face that you first got to know on the internet; how did you feel about it?
a,1, I was happy
b,2, I was not happy or upset
c,3, I was a little upset
c,4, I was fairly upset
c,5, I was very upset
x,6, Prefer not to say
^,f5,Thinking about the LAST TIME you were bothered by meeting someone in this way; how old was the person you actually met?
a,1, I met with someone about my age
a,2, I met with someone younger than me
b,3, I met with a teenager older than me (under 18)
c,4, I met with an adult (over 18)
x,5, Prefer not to say
^,f6a,I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6b,I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6c,I've met with a foreigner (different nationality)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6d,I've personally met with an older person
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6e,I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6f,I've met with another woman like myself whom i just got acquainted with on internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6g,I've met with another man like myself whom i just got acquainted with on internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f6h,I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f8,In the PAST YEAR; how many people have you gone to a meeting with face-to-face that you had previously only met on the internet?
a,1, None
b,2, 1 to 2
b,3, 3 to 4
b,4, 5 to 10
b,5, More than 10
x,6, Prefer not to say
^,f11,In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f12,In the PAST YEAR; how often did this happen?
a,1, Just once or twice
b,2, At least every month
b,3, At least every week
b,4, Daily or almost daily
x,5, Prefer not to say
^,f13,Thinking now about the LAST TIME this happened to you; how upset were you about what happened?
a,1, A little upset
b,2, Fairly upset
b,3, Very upset
x,4, Prefer not to say
^,f14a,My mother or father (or step/foster mother or father)
a,0, No
b,1, Yes
^,f14b,My brother or sister (orstep/foster/half siblings)
a,0, No
b,1, Yes
^,f14j,Cousin
a,0, No
b,1, Yes
^,f14k,Aunt/Uncle
a,0, No
b,1, Yes
^,f14l,Grandfather/Grandmother
a,0, No
b,1, Yes
^,f14m,Nanny
a,0, No
b,1, Yes
^,f14c,A friend around my age
a,0, No
b,1, Yes
^,f14n,Classmate
a,0, No
b,1, Yes
^,f14o,Boyfriend/Girlfriend
a,0, No
b,1, Yes
^,f14d,A teacher
a,0, No
b,1, Yes
^,f14e,Someone whose job it is to help children
a,0, No
b,1, Yes
^,f14p,Godfather/Godmother
a,0, No
b,1, Yes
^,f14q,Priest/Pastor/Nun
a,0, No
b,1, Yes
^,f14r,Neighbor
a,0, No
b,1, Yes
^,f14f,Another adult I trust
a,0, No
b,1, Yes
^,f14g,Someone else
a,0, No
b,1, Yes
^,f14h,I didn't talk to anyone
a,0, No
b,1, Yes
^,f14i,Prefer not to say
a,0, No
b,1, Yes
^,f15,The last time something happened online that bothered or upset you in some way; how long did you feel like that for?
a,1, I got over it straight away
b,2, I felt like that for a few days
b,3, I felt like that for a few weeks
b,4, I felt like that for a few months or more
x,5, Prefer not to say
^,f16a,I ignored the problem or hoped the problem would go away by itself
a,0, No
b,1, Yes
^,f16b,I closed the window or app
a,0, No
b,1, Yes
^,f16c,I felt a bit guilty about what went wrong
a,0, No
b,1, Yes
^,f16d,I tried to get the other person to leave me alone
a,0, No
b,1, Yes
^,f16e,I tried to get back at the other person
a,0, No
b,1, Yes
^,f16f,I stopped using the internet for a while
a,0, No
b,1, Yes
^,f16g,I deleted any messages from the other person
a,0, No
b,1, Yes
^,f16h,I changed my privacy/ contact settings
a,0, No
b,1, Yes
^,f16i,I blocked the person from contacting me
a,0, No
b,1, Yes
^,f16j,I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP))
a,0, No
b,1, Yes
^,f16k,Other actions taken
a,0, No
b,1, Yes
^,f18,In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f19,In the PAST YEAR; how often did this happen?
a,1, Just once or twice
b,2, At least every month
b,3, At least every week
b,4, Daily or almost daily
x,5, Prefer not to say
^,f20a,In person face-to-face (by someone with you in the same place)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f20b,Via a mobile phone or online device (computer;tablet; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f21a,By mobile phone calls
a,0, No
b,1, Yes
^,f21b,By messages sent to me on my phone (SMS/TEXT or MMS)
a,0, No
b,1, Yes
^,f21c,On a social networking site (e.g. Facebook; Twitter etc.)
a,0, No
b,1, Yes
^,f21d,On a media sharing platform (YouTube; Instagram; Flickr)
a,0, No
b,1, Yes
^,f21e,By instant messaging (MSN; What’s app; Skype etc.)
a,0, No
b,1, Yes
^,f21f,In a chatroom
a,0, No
b,1, Yes
^,f21g,In an online game
a,0, No
b,1, Yes
^,f21h,Some other way
a,0, No
b,1, Yes
^,f21i,Prefer not to say
a,0, No
b,1, Yes
^,f22a,Nasty or hurtful messages were sent to me
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f22b,Nasty or hurtful messages were passed around or posted where others could see
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f22c,I was left out or excluded from a group or activity on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f22d,I was threatened on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f22e,Other nasty or hurtful things happened to me on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f23,Thinking of the last time someone treated you in a hurtful or nasty way; how did you feel?
a,1, I wasn't at all upset
b,2, I was a little upset
b,3, I was fairly upset
b,4, I was very upset
x,5, Prefer not to say
^,f24,In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f25,In the PAST YEAR; how often have you treated someone in this way?
a,1, Just once or twice
b,2, At least every month
b,3, At least every week
b,4, Daily or almost daily
x,5, Prefer not to say
^,f26a,In person face-to-face (a person that is together with you in the same place at the same time)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f26b,Via a mobile phone or online device (computer; tablet; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f27a,By mobile phone calls
a,0, No
b,1, Yes
^,f27b,By messages sent by the phone (SMS/Text or MMS)
a,0, No
b,1, Yes
^,f27c,On a social networking site (e.g.; Facebook; Twitter)
a,0, No
b,1, Yes
^,f27d,By instant messaging (MSN; WhatsApp; Skype etc.)
a,0, No
b,1, Yes
^,f27e,On a media sharing platform (YouTube; Instagram; Flickr)
a,0, No
b,1, Yes
^,f27f,In a chatroom
a,0, No
b,1, Yes
^,f27g,In an online game
a,0, No
b,1, Yes
^,f27h,Some other way
a,0, No
b,1, Yes
^,f27i,Prefer not to say
a,0, No
b,1, Yes
^,f28,In the PAST YEAR; have you EVER SEEN any sexual images?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f29,If you have seen images of this kind; how did you feel about what you saw?
a,1, I was happy
b,2, I was not happy or upset
c,3, I was a little upset
c,4, I was fairly upset
c,5, I was very upset
x,6, Prefer not to say
^,f31a,In a magazine or book
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f31b,On television; film
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f31c,Via a mobile phone; computer; tablet or anyother online device
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f32d,On an online video sharing platform (e.g. YouTube; [add local examples])
a,0, No
b,1, Yes
^,f32e,On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples])
a,0, No
b,1, Yes
^,f32f,On a social networking site (e.g. Facebook; Twitter; [add local examples])
a,0, No
b,1, Yes
^,f32g,In a chatroom
a,0, No
b,1, Yes
^,f32h,In an online game
a,0, No
b,1, Yes
^,f32i,On an adult/X-rated website
a,0, No
b,1, Yes
^,f32j,By popups on the internet (unrequested windows that appear during web surfing)
a,0, No
b,1, Yes
^,f32k,By instant messaging (MSN; WhatsApp; Skype; [add local examples])
a,0, No
b,1, Yes
^,f32l,By text (SMS); images (MMS); or otherwise on my mobile phone
a,0, No
b,1, Yes
^,f32m,By Bluetooth
a,0, No
b,1, Yes
^,f32n,In an advert
a,0, No
b,1, Yes
^,f32o,Prefer not to say
a,0, No
b,1, Yes
^,f33a,A sexual image or video of someone naked
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f33b,A sexual image or video that shows someone's 'private parts' [translate as appropriate]
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f33c,An image or video that shows sexual acts or people having sex
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f33d,An image or video that shows sexual acts in a violent way
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f33e,Something else sexual or embarrassing
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f34,In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f35,If you have received any sexual messages; how did you feel about what you saw?
a,1, I was happy
b,2, I was not happy or upset
c,3, I was a little upset
c,4, I was fairly upset
c,5, I was very upset
x,6, Prefer not to say
^,f37a,By mobile phone calls
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37b,By text messages sent to me on my phone (SMS/text or MMS)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37c,On a social networking site (e.g.; Facebook; Twitter etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37d,On a media sharing platform (YouTube; Instagram; Flickr)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37e,By IM (MSN; WhatsApp; Skype; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37f,In a chatroom (video chat)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37g,In an online game
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37h,In a gaming community (also on the Xbox and other game consoles)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f37i,By 'pop up' (something appears by accident)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f38,In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f39,In the PAST YEAR; how often have you sent or posted sexual messages?
a,1, Just once or twice
b,2, At least every month
b,3, At least every week
b,4, Daily or almost daily
x,5, Prefer not to say
^,f40a,I have sent someone a sexual message (e.g.; words; pictures or video) on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f40b,I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f40c,I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41a,Ways of physically harming or hurting themselves
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41b,Ways of committing suicide
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41c,Ways to be very thin (such as being anorexic or bulimic)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41d,Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41e,Their experiences of taking drugs
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41f,Gory or violent images
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41g,Ways of courtship
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41h,Ways how to find a relationship
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41i,Ways to join in gambling
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41j,Ways in which to buy drugs
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41k,About abortion
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41l,About cheating
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41m,About sex
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41n,About drinking alcohol
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41o,About smoking
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f41p,About bullying
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43a,Somebody used my personal information in a way I didn't like
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43b,The device (e.g.; phone; tablet; computer) I use got a virus or spyware
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43c,I lost money by being cheated on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43d,Somebody used my password to access my information or to pretend to be me
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43e,Somebody created a page or image about me that was hostile or hurtful
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43f,I spent too much money on online games or in-app purchases
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43g,I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f43h,Someone found out where I was because they tracked my phone or device
a,1, No
b,2, Yes
x,3, Prefer not to say
^,f45a,I have gone without eating or sleeping because of the time I spent on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,f45b,I have experienced conflicts with family or friends because of the time I spent on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,f45c,My grades have dropped because of the time I spent on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,f45d,I have tried unsuccessfully to spend less time on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,f45e,I think the amount of time I spend on the internet causes problems for me
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,f45f,I feel I have to check my device (e.g. phone or computer) to see if anything new has just happened
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,h1,Here is a picture of a ladder. The top of the ladder ‘10’ is the best possible life for you and the bottom ‘0’ is the worst possible life for you. In general; where on the ladder do you feel you stand at the moment? Mark the circle next to the number that best describes where you stand.
a,0, 0
a,1, 1
a,2, 2
a,3, 3
a,4, 4
b,5, 5
b,6, 6
b,7, 7
b,8, 8
b,9, 9
b,10, 10
^,h2a,Your mother or father (including step/foster mother or father)
a,0, No
b,1, Yes
^,h2b,Your brother or sister (including step siblings)
a,0, No
b,1, Yes
^,h2i,Cousin
a,0, No
b,1, Yes
^,h2j,Aunt/Uncle
a,0, No
b,1, Yes
^,h2k,Grandfather/Grandmother
a,0, No
b,1, Yes
^,h2c,A friend around my age
a,0, No
b,1, Yes
^,h2l,Boyfriend/Girlfriend
a,0, No
b,1, Yes
^,h2d,A teacher
a,0, No
b,1, Yes
^,h2m,Classmate
a,0, No
b,1, Yes
^,h2e,Someone whose job it is to help children [give examples if needed]
a,0, No
b,1, Yes
^,h2n,Nanny
a,0, No
b,1, Yes
^,h2o,Godfather/Godmother
a,0, No
b,1, Yes
^,h2p,Priest/Pastor/Nun
a,0, No
b,1, Yes
^,h2q,Neighbor
a,0, No
b,1, Yes
^,h2f,Another adult you trust
a,0, No
b,1, Yes
^,h2g,Someone else
a,0, No
b,1, Yes
^,h2h,No one
a,0, No
b,1, Yes
^,i1,How easy is it for you to talk to your parent/carer about things that upset you?
a,1, Very easy
a,2, Fairly easy
b,3, Fairly difficult
b,4, Very difficult
x,5, Prefer not to say
^,i2a,When I speak someone listens to what I say
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,i2b,My family really tries to help me
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,i2c,I feel safe at home
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,i3b,My parent(s)/carer(s) sets rules about what I can do at home
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i3c,My parent(s)/carer(s) sets rules about what I can do outside the home
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i3d,My parent(s)/carer(s) tells me when I am doing something well
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i3a,My parent(s)/carer(s) praises me for behaving well
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4a,Encourages me to explore and learn things on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4b,Suggests ways to use the internet safely
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4c,Talks to me about what I do on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4d,Sits with me while I use the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4e,Stays nearby when I use the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4f,Does shared activities together with me on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4g,Talks to me about what to do if something online bothers or upsets me
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4h,Helps me when something is difficult to do or find on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4i,Explains why some websites are appropriate or inappropriate
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,i4j,Helps me when something bothers me on the internet
a,1, Never
a,2, Hardly ever
